iter	Passed	Remaining
410	4067	5829
411	4076	5817
412	4084	5804
413	4092	5792
414	4100	5779
415	4108	5767
416	4115	5753
417	4123	5741
418	4130	5728
419	4138	5715
420	4146	5702
421	4154	5690
422	4161	5676
423	4169	5663
424	4177	5651
425	4184	5638
426	4192	5625
427	4199	5612
428	4208	5601
429	4216	5589
430	4224	5577
431	4232	5565
432	4241	5554
433	4250	5543
434	4258	5531
435	4266	5518
436	4274	5507
437	4283	5495
438	4294	5488
439	4304	5478
440	4313	5468
441	4324	5458
442	4331	5445
443	4340	5435
444	4349	5424
445	4357	5413
446	4365	5401
447	4374	5389
448	4381	5376
449	4389	5365
450	4397	5353
451	4406	5342
452	4413	5329
453	4421	5317
454	4428	5304
455	4437	5293
456	4445	5281
457	4453	5270
458	4461	5258
459	4468	5246
460	4476	5233
461	4484	5222
462	4493	5212
463	4503	5202
464	4511	5190
465	4520	5179
466	4528	5168
467	4536	5156
468	4543	5144
469	4553	5134
470	4560	5122
471	4569	5111
472	4576	5099
473	4584	5087
474	4592	5075
475	4600	5064
476	4607	5052
477	4616	5041
478	4624	5030
479	4632	5018
480	4639	5006
481	4647	4995
482	4655	4983
483	4663	4971
484	4670	4959
485	4678	4948
486	4686	4936
487	4695	4926
488	4702	4914
489	4711	4903
490	4718	4891
491	4726	4880
492	4734	4868
493	4742	4857
494	4749	4845
495	4757	4834
496	4765	4822
497	4772	4811
498	4781	4800
499	4788	4788
500	4796	4777
501	4804	4765
502	4812	4754
503	4820	4743
504	4829	4733
505	4836	4722
506	4845	4711
507	4853	4700
508	4861	4689
509	4868	4677
510	4876	4666
511	4884	4655
512	4892	4644
513	4899	4632
514	4908	4622
515	4915	4610
516	4923	4599
517	4931	4589
518	4940	4578
519	4949	4569
520	4960	4560
521	4985	4565
522	5002	4562
523	5017	4557
524	5027	4548
525	5042	4544
526	5051	4533
527	5060	4523
528	5067	4512
529	5076	4501
530	5083	4490
531	5092	4480
532	5100	4468
533	5108	4458
